name,cnt,location
523艺术中心,1,"121.448995,31.247302"
6号地下室,1,"121.435093,31.202785"
929美术馆,1,"121.596212,31.321834"
Alluneednow,1,"121.444719,31.222549"
ART ZHOU艺术仓储中心,1,"121.211902,31.252491"
Aura.a gallery,1,"121.452430,31.211089"
BROWNIE Gallery Store,1,"121.449882,31.224115"
Gallery Vacancy,1,"121.444344,31.216063"
IG gallery,1,"121.440720,31.213375"
J.澜空间,1,"121.414028,31.266868"
Le Petit Cochon Vert,1,"121.442255,31.207146"
杜梦堂画廊,4,"121.448995,31.247302"
LOH 画廊,1,"121.448814,31.247945"
Mingo艺术餐厅酒吧,1,"121.442255,31.207146"
OCAT浦江华侨城展区,1,"121.500440,31.105590"
The Studio Company,1,"121.450970,31.246948"
UP美术馆,1,"121.482251,31.316340"
万丽酒店,1,"121.487995,31.227539"
三尚艺术（上海）,1,"121.469984,31.239716"
三至喜来登酒店,1,"121.488191,31.257462"
上海BA艺术中心,1,"121.510030,31.222252"
上海Elica旗舰店,1,"121.451632,31.232524"
上海SOHO复兴广场,1,"121.474154,31.215134"
上海世博展览馆,1,"121.489920,31.182110"
上海依东外国原创美术博物馆,1,"121.414786,31.223290"
上海元典画廊,1,"121.525346,31.293984"
上海半岛酒店,1,"121.489110,31.240881"
上海博物馆,1,"121.475530,31.228245"
上海宝马品牌体验中心,1,"121.494299,31.181840"
上海尚嘉中心,1,"121.407106,31.205723"
上海市青浦镇朱家角镇尚都里,1,"121.056504,31.110119"
上海朵云轩,1,"121.482144,31.236712"
上海湾,1,"121.514615,31.226977"
上海玉衡艺术中心,1,"121.447650,31.248300"
上海理工大学美术馆,1,"121.552151,31.292073"
上海电影博物馆,1,"121.437926,31.185565"
上海至尊衡山豪华精选酒店,1,"121.445522,31.205394"
下河迷仓,1,"121.442910,31.166581"
世博中心,1,"121.484517,31.184080"
両山艺术中心,1,"121.175381,31.177224"
之禾空间,1,"121.385508,31.165350"
九间堂会馆,1,"121.560441,31.220606"
会德丰国际广场北院,1,"121.444451,31.221832"
创智天地,1,"121.515430,31.306605"
半张图艺术馆,1,"121.542963,31.264685"
华侨城苏河湾规划展示中心,1,"121.474881,31.241937"
卜石新天地艺术馆,1,"121.475746,31.219971"
卜石西岸馆,1,"121.468675,31.197924"
可当代艺术中心,1,"121.416918,31.211237"
嘉保艺术,1,"121.447735,31.248249"
嘉源海艺术中心,1,"121.316692,31.381766"
嘉里中心,1,"121.450791,31.224506"
