froma,fromb,toa,tob
121.489612,31.405457,121.407030,31.349538
121.657441,31.808026,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
117.698563,32.530982,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.459384,31.247105,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
118.763232,32.061707,121.407030,31.349538
121.397417,31.623587,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.397417,31.623587,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.526077,31.259541,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.459384,31.247105,121.407030,31.349538
121.459384,31.247105,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.397417,31.623587,121.407030,31.349538
119.295144,26.100779,121.455533,31.321405
115.814204,32.890124,121.455533,31.321405
121.469240,31.229860,121.455533,31.321405
121.657441,31.808026,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.489612,31.405457,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.489612,31.405457,121.455533,31.321405
118.356448,35.104672,121.455533,31.321405
120.755486,30.746129,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
126.534967,45.803775,121.455533,31.321405
121.489612,31.405457,121.455533,31.321405
119.459161,32.781659,121.455533,31.321405
121.526077,31.259541,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.469240,31.229860,121.455533,31.321405
121.424624,31.220367,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.459384,31.247105,121.447983,31.239969
121.550357,29.874556,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.395555,31.249840,121.447983,31.239969
113.926800,35.303004,121.447983,31.239969
117.284124,34.205768,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
114.696951,33.626149,121.447983,31.239969
120.894291,31.980171,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
117.638678,26.263406,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.424624,31.220367,121.447983,31.239969
121.395555,31.249840,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.489612,31.405457,121.457054,31.284897
105.724947,34.580863,121.457054,31.284897
118.337481,29.714655,121.457054,31.284897
119.412966,32.394210,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
113.852640,34.035506,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
117.020359,36.668530,121.457054,31.284897
121.505133,31.264600,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
87.627704,43.793026,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.395555,31.249840,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.505133,31.264600,121.440434,31.283079
119.015285,33.610353,121.440434,31.283079
118.337481,29.714655,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.397417,31.623587,121.440434,31.283079
104.643215,28.751768,121.440434,31.283079
115.840511,34.402512,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.469240,31.229860,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.424624,31.220367,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.397417,31.623587,121.440434,31.283079
120.155070,30.274084,121.440434,31.283079
106.631187,29.718143,121.440434,31.283079
121.469240,31.229860,121.440434,31.283079
121.381709,31.112813,121.418021,31.009156
121.469240,31.229860,121.418021,31.009156
118.758816,30.940718,121.418021,31.009156
